Test name,Total connections,Duration,Conn Rate,Reply Size
4KB,1000,0.227,4397.3,483.0
4KB,1000,0.207,4835.1,483.0
4KB,1000,0.206,4865.5,483.0
4KB,1000,0.209,4795.1,483.0
4KB,1000,0.201,4975.8,483.0
4KB,1000,0.228,4387.1,483.0
4KB,1000,0.237,4216.3,483.0
4KB,1000,0.226,4430.8,483.0
4KB,1000,0.209,4775.3,483.0
4KB,1000,0.208,4798.6,483.0
4KB,1000,0.202,4952.0,483.0
4KB,1000,0.213,4687.4,483.0
4KB,1000,0.205,4881.3,483.0
4KB,1000,0.207,4829.7,483.0
4KB,1000,0.217,4613.3,483.0
4KB,1000,0.215,4661.0,483.0
4KB,1000,0.203,4931.0,483.0
4KB,1000,0.206,4855.9,483.0
4KB,1000,0.201,4965.1,483.0
4KB,1000,0.206,4859.7,483.0
4KB,1000,0.204,4892.4,483.0
4KB,1000,0.203,4925.1,483.0
4KB,1000,0.202,4939.2,483.0
4KB,1000,0.203,4920.6,483.0
4KB,1000,0.239,4183.3,483.0
4KB,1000,0.211,4745.1,483.0
4KB,1000,0.206,4865.5,483.0
4KB,1000,0.210,4764.3,483.0
4KB,1000,0.206,4856.7,483.0
4KB,1000,0.202,4938.5,483.0
4KB,1000,0.200,5001.2,483.0
4KB,1000,0.221,4522.9,483.0
4KB,1000,0.199,5016.9,483.0
4KB,1000,0.202,4948.8,483.0
4KB,1000,0.208,4812.2,483.0
4KB,1000,0.209,4785.8,483.0
4KB,1000,0.209,4796.0,483.0
4KB,1000,0.204,4912.0,483.0
4KB,1000,0.199,5025.1,483.0
4KB,1000,0.204,4893.6,483.0
4KB,1000,0.196,5110.0,483.0
4KB,1000,0.206,4855.5,483.0
4KB,1000,0.208,4817.6,483.0
4KB,1000,0.217,4598.9,483.0
4KB,1000,0.210,4756.2,483.0
4KB,1000,0.219,4558.9,483.0
4KB,1000,0.204,4906.9,483.0
4KB,1000,0.211,4744.8,483.0
4KB,1000,0.210,4773.0,483.0
4KB,1000,0.215,4649.9,483.0
4KB,1000,0.228,4385.4,483.0
