Test name,Total connections,Duration,Conn Rate,Reply Size
Medium,1000,0.305,3279.2,483.0
Medium,1000,0.324,3089.5,483.0
Medium,1000,0.328,3047.8,483.0
Medium,1000,0.307,3257.0,483.0
Medium,1000,0.313,3191.5,483.0
Medium,1000,0.309,3236.2,483.0
Medium,1000,0.315,3174.6,483.0
Medium,1000,0.319,3131.7,483.0
Medium,1000,0.336,2973.1,483.0
Medium,1000,0.330,3031.0,483.0
Medium,1000,0.325,3078.0,483.0
Medium,1000,0.335,2983.8,483.0
Medium,1000,0.305,3278.8,483.0
Medium,1000,0.324,3082.6,483.0
Medium,1000,0.309,3233.8,483.0
Medium,1000,0.304,3292.1,483.0
Medium,1000,0.317,3153.4,483.0
Medium,1000,0.312,3206.6,483.0
Medium,1000,0.324,3082.4,483.0
Medium,1000,0.312,3203.5,483.0
Medium,1000,0.317,3157.8,483.0
Medium,1000,0.319,3138.6,483.0
Medium,1000,0.321,3114.1,483.0
Medium,1000,0.347,2881.5,483.0
Medium,1000,0.324,3083.6,483.0
Medium,1000,0.317,3151.4,483.0
Medium,1000,0.329,3035.7,483.0
Medium,1000,0.324,3086.3,483.0
Medium,1000,0.335,2981.0,483.0
Medium,1000,0.322,3104.5,483.0
Medium,1000,0.309,3231.7,483.0
Medium,1000,0.311,3216.2,483.0
Medium,1000,0.310,3222.9,483.0
Medium,1000,0.320,3125.1,483.0
Medium,1000,0.307,3257.0,483.0
Medium,1000,0.329,3042.7,483.0
Medium,1000,0.314,3189.0,483.0
Medium,1000,0.320,3120.4,483.0
Medium,1000,0.338,2960.6,483.0
Medium,1000,0.316,3165.5,483.0
Medium,1000,0.312,3200.6,483.0
Medium,1000,0.322,3107.5,483.0
Medium,1000,0.312,3203.0,483.0
Medium,1000,0.319,3137.2,483.0
Medium,1000,0.323,3096.6,483.0
Medium,1000,0.305,3282.5,483.0
Medium,1000,0.312,3205.7,483.0
Medium,1000,0.341,2933.1,483.0
Medium,1000,0.314,3188.4,483.0
Medium,1000,0.332,3008.7,483.0
Medium,1000,0.309,3235.3,483.0
Medium,1000,0.313,3197.9,483.0
Medium,1000,0.328,3049.5,483.0
Medium,1000,0.324,3087.4,483.0
Medium,1000,0.323,3093.8,483.0
Medium,1000,0.328,3050.4,483.0
Medium,1000,0.340,2942.0,483.0
Medium,1000,0.314,3185.7,483.0
Medium,1000,0.323,3099.6,483.0
Medium,1000,0.319,3137.6,483.0
Medium,1000,0.317,3150.3,483.0
Medium,1000,0.301,3321.3,483.0
Medium,1000,0.309,3233.6,483.0
Medium,1000,0.303,3296.6,483.0
Medium,1000,0.303,3301.7,483.0
Medium,1000,0.332,3014.9,483.0
Medium,1000,0.307,3253.8,483.0
Medium,1000,0.308,3249.0,483.0
Medium,1000,0.315,3174.3,483.0
Medium,1000,0.323,3099.9,483.0
Medium,1000,0.311,3219.2,483.0
Medium,1000,0.317,3152.1,483.0
Medium,1000,0.328,3049.8,483.0
Medium,1000,0.324,3088.0,483.0
Medium,1000,0.328,3047.3,483.0
Medium,1000,0.313,3199.7,483.0
Medium,1000,0.328,3045.0,483.0
Medium,1000,0.314,3184.5,483.0
Medium,1000,0.316,3164.2,483.0
Medium,1000,0.326,3071.0,483.0
Medium,1000,0.306,3268.0,483.0
